strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi10_cd12_sl3_tp10,-1.8745,-25.9443,6,16.67,3.1098,-3.8687,5,1,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi14_cd12_sl3_tp10,-1.8745,-25.9443,6,16.67,3.1098,-3.8687,5,1,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi20_cd12_sl3_tp10,-1.8745,-25.9443,6,16.67,3.1098,-3.8687,5,1,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi10_cd12_sl3_tp0,-2.1209,-25.9443,6,16.67,3.1098,-3.7088,5,0,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi10_cd12_sl3_tp15,-2.1209,-25.9443,6,16.67,3.1098,-3.7088,5,0,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi10_cd12_sl3_tp20,-2.1209,-25.9443,6,16.67,3.1098,-3.7088,5,0,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi14_cd12_sl3_tp0,-2.1209,-25.9443,6,16.67,3.1098,-3.7088,5,0,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi14_cd12_sl3_tp15,-2.1209,-25.9443,6,16.67,3.1098,-3.7088,5,0,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi14_cd12_sl3_tp20,-2.1209,-25.9443,6,16.67,3.1098,-3.7088,5,0,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi20_cd12_sl3_tp0,-2.1209,-25.9443,6,16.67,3.1098,-3.7088,5,0,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi20_cd12_sl3_tp15,-2.1209,-25.9443,6,16.67,3.1098,-3.7088,5,0,2026-01-10 02:00:00,2026-02-20 17:00:00
rsi20_cd12_sl3_tp20,-2.1209,-25.9443,6,16.67,3.1098,-3.7088,5,0,2026-01-10 02:00:00,2026-02-20 17:00:00
