strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi10_cd6_sl8_tp0,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp10,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp15,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp20,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl8_tp0,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl8_tp10,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl8_tp15,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl8_tp20,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl8_tp0,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl8_tp10,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl8_tp15,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl8_tp20,0.8143,-34.5747,6,66.67,2.8205,0.581,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl8_tp0,0.0136,-34.5747,6,66.67,2.8205,0.037,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
