strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi10_cd6_sl8_tp0,2.3264,-38.0973,3,66.67,1.2255,2.3498,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp15,2.3264,-38.0973,3,66.67,1.2255,2.3498,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp20,2.3264,-38.0973,3,66.67,1.2255,2.3498,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl8_tp0,2.3264,-38.0973,3,66.67,1.2255,2.3498,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl8_tp15,2.3264,-38.0973,3,66.67,1.2255,2.3498,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl8_tp20,2.3264,-38.0973,3,66.67,1.2255,2.3498,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl8_tp0,2.3264,-38.0973,3,66.67,1.2255,2.3498,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl8_tp15,2.3264,-38.0973,3,66.67,1.2255,2.3498,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl8_tp20,2.3264,-38.0973,3,66.67,1.2255,2.3498,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl8_tp10,2.2238,-38.0973,3,66.67,1.2255,2.2546,1,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl8_tp10,2.2238,-38.0973,3,66.67,1.2255,2.2546,1,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl8_tp10,2.2238,-38.0973,3,66.67,1.2255,2.2546,1,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl3_tp0,1.9099,-38.0973,3,33.33,1.5834,2.2858,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl3_tp15,1.9099,-38.0973,3,33.33,1.5834,2.2858,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl3_tp20,1.9099,-38.0973,3,33.33,1.5834,2.2858,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl3_tp0,1.9099,-38.0973,3,33.33,1.5834,2.2858,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl3_tp15,1.9099,-38.0973,3,33.33,1.5834,2.2858,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl3_tp20,1.9099,-38.0973,3,33.33,1.5834,2.2858,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
